,Contributor,Taxon,UniqueID,AphiaID,Relative.Adult.Mobility,Relative.Adult.Mobility.Certainty,Relative.Adult.Mobility.Reference,Estimated.Max.Body.Size,Estimated.Max.Body.Size.Certainty,Estimated.Max.Body.Size.Reference,Gregariousness,Gregariousness.Certainty,Gregariousness.Reference,Foundation.Species,Foundation.Species.Certainty,Foundation.Species.Reference,Habitat.Complexity,Habitat.Complexity.Certainty,Habitat.Complexity.Reference,Abundance,Abundance.Certainty,Abundance.Reference,Chemosynthesis.Obligate,Chemosynthesis.Obligate.Certainty,Chemosynthesis.Obligate.Reference,Position.of.Symbiont,Position.of.Symbiont.Certainty,Position.of.Symbiont.Reference,Min.Depth.Range.Lower.Bound,Min.Depth.Range.Upper.Bound,Max.Depth.Range.Lower.Bound,Max.Depth.Range.Upper.Bound,Depth.Range.Certainty,Depth.Range.Reference,Substratum,Substratum.Certainty,Substratum.Reference,Zonation.From.Vent,Zonation.From.Vent.Certainty,Zonation.From.Vent.Reference,Nutritional.Source,Nutritional.Source.Certainty,Nutritional.Source.Reference,Trophic.Mode,Trophic.Mode.Certainty,Trophic.Mode.Reference,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
324,hwatanabe@jamstec.go.jp; verenat,Leucolepas longa,Leu324,395801,1,3,NA,100,3,168,Always,NA,66,Yes,NA,66,Open bush forming,NA,66,High,NA,66,Vent,2,66,None,NA,66,1000,1500,2000,2500,2,66,Hard,3,NA,Medium,2,NA,Water column,1,NA,Detritivore,NA,66,Arthropoda,Hexanauplia,Scalpelliformes,Eolepadidae,Leucolepas,,longa,
325,tammy.horton@noc.ac.uk; asac1g09@soton.ac.uk,Leucothoe atosi,Leu325,510243,3,2,43,10,3,43,Never,1,44,No,3,66,Does not add,3,66,Low,3,44,Vent,2,44,None,2,NA,500,1000,500,1000,3,44,Hard,2,44,Medium,1,44,Sediment or rock surface,2,66,NA,1,66,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,,atosi,
326,asac1g09@soton.ac.uk; hourdez@sb-roscoff.fr; William.Reid@newcastle.ac.uk,Levensteiniella intermedia,Lev326,328833,4,3,66,100,3,66,Never,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,66,None,3,66,2000,2500,2500,3000,3,66,Hard,3,66,Medium,3,66,Fauna,3,66,Carnivore O,3,66,Annelida,Polychaeta,Phyllodocida,Polynoidae,Levensteiniella,,intermedia,
327,daphne.cuvelier@gmail.com; asac1g09@soton.ac.uk; jtc@soton.ac.uk,Levensteiniella iris,Lev327,328834,3,3,66,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,Polychaeta,Phyllodocida,Polynoidae,Levensteiniella,,iris,
328,asac1g09@soton.ac.uk; hourdez@sb-roscoff.fr; ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; reboschen@uvic.ca,Levensteiniella kincaidi,Lev328,328835,4,3,66,100,3,66,Never,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,66,None,3,66,2000,2500,2500,3000,3,66,Hard,3,66,Medium,3,66,Fauna,3,66,Carnivore O,3,66; 48,Annelida,Polychaeta,Phyllodocida,Polynoidae,Levensteiniella,,kincaidi,
329,asac1g09@soton.ac.uk; cpd4@psu.edu; hourdez@sb-roscoff.fr; ijc1g15@soton.ac.uk; verenat,Levensteiniella raisae,Lev329,328837,4,3,66,100,3,66,Never,3,66,No,3,66,Does not add,3,66,High,3,66,Vent,3,66,None,3,66,1000,1500,2000,2500,3,66,Hard,3,66,High,2.5,66,Fauna,3,66,Carnivore O,3,66,Annelida,Polychaeta,Phyllodocida,Polynoidae,Levensteiniella,,raisae,
330,sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk,Lindaspio dibranchiata,Lin330,328844,3,3,129,10,3,129,NA,NA,NA,No,3,129,NA,NA,NA,NA,NA,NA,Vent,3,129,None,2,NA,NA,NA,NA,NA,NA,NA,Soft,3,129,NA,NA,NA,Sediment or rock surface,2,NA,Detritivore,2,NA,Annelida,Polychaeta,Spionida,Spionidae,Lindaspio,,dibranchiata,
331,asac1g09@soton.ac.uk; verenat,Lindaspio southwardorum,Lin331,328845,3,2,66; 129,100,3,129,Never,NA,66,No,NA,66,NA,NA,NA,Low,NA,NA,Vent,3,129,NA,NA,NA,2000,2500,2000,2500,NA,66,Soft,3,129,Low,3,66; 129,Sediment or rock surface,2,129,Detritivore,2,129,Annelida,Polychaeta,Spionida,Spionidae,Lindaspio,,southwardorum,
332,sabine.gollner@nioz.nl; asac1g09@soton.ac.uk,Linhomoeus caudipapillosus,Lin332,1115419,3,2,66,1,3,199,NA,NA,NA,No,3,66,Does not add,2,66,Low,1,199,No,2,199,None,3,66,2000,2500,2500,3000,2,196,Hard,2,196,Medium,3,199; 362,Sediment or rock surface,2,66,Omnivore,1,66,Nematoda,Chromadorea,Monhysterida,Linhomoeidae,Linhomoeus,,caudipapillosus,
333,daphne.cuvelier@gmail.com; gorolen@mail.ru; William.Reid@newcastle.ac.uk; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Lirapex costellatus,Lir333,183239,3,NA,-9997,10,2,NA,Never,3,NA,No,3,NA,Does not add,3,NA,Low,2,NA,Vent,2,NA,None,3,NA,1500,2000,4000,4500,2,NA,Hard,2,NA,Medium,2,NA,Sediment or rock surface,2.5,NA,Bacterivore,2,NA,Mollusca,Gastropoda,,Peltospiridae,Lirapex,,costellatus,
334,bates.amanda@gmail.com; asac1g09@soton.ac.uk,Lirapex granularis,Lir334,449981,3,2,66,1,2,129,NA,NA,NA,No,3,66,Does not add,2,66,NA,NA,NA,Vent,2,129,NA,NA,NA,2500,3000,2500,3000,2,129,Hard,1,129,Medium,2,129,Sediment or rock surface,2,129,Detritivore,2,129,Mollusca,Gastropoda,,Peltospiridae,Lirapex,,granularis,
335,bates.amanda@gmail.com; ijc1g15@soton.ac.uk,Lirapex humatus,Lir335,449982,3,2,66,10,3,577,NA,NA,NA,No,3,66,Does not add,2,66,NA,NA,NA,Vent,3,129; 541,NA,NA,NA,2500,3000,2500,3000,1,147,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,577,Bacterivore,NA,-9997,Mollusca,Gastropoda,,Peltospiridae,Lirapex,,humatus,
336,hans.rapp@uib.no,Lucernaria bathyphila,Luc336,135325,1,3,66,100,3,66,Sometimes,2,66,No,3,66,Does not add,3,66,Low,3,66,No,3,66,NA,NA,NA,0,500,2500,3000,3,66,Hard,3,66,Medium,3,410,Fauna,3,66,Carnivore O,NA,66,Cnidaria,Staurozoa,Stauromedusae,Lucernariidae,Lucernaria,,bathyphila,
337,daphne.cuvelier@gmail.com; gorolen@mail.ru; ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; tammy.horton@noc.ac.uk; maria.aa.colaco@uac.pt,Luckia striki,Luc337,550328,4,3,45; 66,100,2,NA,NA,NA,NA,No,3,66,Does not add,3,66,Low,2,45,Vent,3,45,None,3,66,1500,2000,2000,2500,2.8,45 129; 66,Water column,2.5,66,Medium,1.25,45 66; 119,Sediment or rock surface,1,66; 119,Detritivore,2,45 119,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Luckia,,striki,
338,gorolen@mail.ru; daphne.cuvelier@gmail.com; asac1g09@soton.ac.uk,Lurifax vitreus,Lur338,181098,3,1,-9996,10,2,NA,Never,3,NA,No,3,NA,Does not add,3,NA,High,2,NA,Vent,3,117,None,3,NA,500,1000,1500,2000,2,NA,Hard,2,NA,Medium,3,66,Sediment or rock surface,3,NA,Bacterivore,2,NA,Mollusca,Gastropoda,,Orbitestellidae,Lurifax,,vitreus,
339,ijc1g15@soton.ac.uk,Lycaeopsis zamboangae,Lyc339,421613,3,2,-9996,10,3,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,-9996,NA,NA,NA,Arthropoda,Malacostraca,Amphipoda,Lycaeopsidae,Lycaeopsis,,zamboangae,
340,hans.rapp@uib.no,Lycopodina cupressiformis,Lyc340,863524,1,3,66,100,3,225,Always,2,66,No,3,66,Open bush forming,3,66,High,3,66,No,2,223,NA,NA,NA,0,500,1500,2000,3,225,Hard,2,66,Medium,3,66,Fauna,3,223,Carnivore O,3,223,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Lycopodina,,cupressiformis,
341,daphne.cuvelier@gmail.com; ijc1g15@soton.ac.uk; maria.aa.colaco@uac.pt,Lycopodina infundibulum,Lyc341,863534,1,3,-9996,100,NA,-9997,NA,NA,NA,No,NA,66,Does not add,NA,NA,NA,NA,NA,No,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,3,226,Carnivore O,NA,-9997,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Lycopodina,,infundibulum,
342,hans.rapp@uib.no,Lycopodina lycopodium,Lyc342,863531,1,3,66,100,3,225,Always,2,66,No,3,66,Open bush forming,3,66,High,3,66,No,3,223,NA,NA,NA,0,500,1000,1500,3,225,Hard,2,66,Medium,3,66,Fauna,3,223,Carnivore O,3,223,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Lycopodina,,lycopodium,
343,hans.rapp@uib.no,Lycopodina tendali,Lyc343,1023296,1,3,66,10,3,225,Always,1,66,No,3,66,Open bush forming,3,66,Low,2,66,No,3,223,NA,NA,NA,0,500,1000,1500,3,225,Hard,2,66,Medium,3,66,Fauna,3,223,Carnivore O,3,223,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Lycopodina,,tendali,
344,hourdez@sb-roscoff.fr; sam.southgate@hotmail.co.uk,Macellicephala galapagensis,Mac344,329100,4,3,66,10,3,66; 420; 421,Never,3,66,No,3,66,Does not add,3,66,Low,3,66,Other CBE,3,66; 420; 421,None,3,66,2000,2500,2000,2500,3,421,Hard,2,66,Low,3,66,Fauna,3,66,Carnivore O,2,66,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,,galapagensis,
345,hourdez@sb-roscoff.fr,Malacoceros samurai,Mal345,390265,4,NA,NA,100,NA,NA,Never,NA,NA,No,NA,NA,Does not add,NA,NA,Low,NA,NA,Vent,NA,NA,None,NA,NA,2000,2500,2000,2500,NA,NA,Soft,NA,NA,Medium,NA,NA,Sediment or rock surface,NA,NA,Detritivore,NA,NA,Annelida,Polychaeta,Spionida,Spionidae,Malacoceros,,samurai,
346,daphne.cuvelier@gmail.com; gorolen@mail.ru; ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt,Maractis rimicarivora,Mar346,290330,1,3,66,100,3,153,Always,2,328; 66,Yes,3,NA,Bed forming,2,NA,High,3,328; 66,Vent,3,153,None,3,153,1500,2000,4000,4500,2.666666667,153; 103; 104; 66; 129,Hard,2.333333333,66; 129,High,3,66; 129,Fauna,3,153; 129,Carnivore O,3,153; 129,Cnidaria,Anthozoa,Actiniaria,Actinoscyphiidae,Maractis,,rimicarivora,
347,cchen@jamstec.go.jp,Margarites ryukyuensis,Mar347,457997,2,2,66,100,3,66,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,3,NA,None,3,NA,500,1000,2000,2500,3,66,Hard,3,66,Medium,2,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,,ryukyuensis,
348,cchen@jamstec.go.jp; asac1g09@soton.ac.uk,Margarites shinkai,Mar348,512332,2,2,66,100,3,66,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Other CBE,3,NA,None,3,NA,500,1000,1000,1500,3,NA,Hard,3,66,Medium,2,NA,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,,shinkai,
349,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk; verenat,Marianactis bythios,Mar349,290332,1,2,-9996,100,3,129,Sometimes,2,154,NA,NA,NA,Open bush forming,1,66,High,3,154,Vent,3,129,None,3,154,3500,4000,3500,4000,3,154,Hard,NA,66; 154,Low,2,154,Fauna,2,129,Carnivore O,NA,154,Cnidaria,Anthozoa,Actiniaria,Kadosactinidae,Marianactis,,bythios,
350,Terue-Cristina.Kihara@senckenberg.de,Marianactis sp. 1 CIR,Mar350,267578,1,3,66,1000,3,66,Always,3,66,No,3,66,Does not add,3,66,High,3,560,Vent,3,66,None,3,554,2000,2500,3000,3500,3,581,Hard,3,580,Low,3,560,Fauna,3,554,Carnivore O,3,554,Cnidaria,Anthozoa,Actiniaria,Kadosactinidae,Marianactis,,,
351,bates.amanda@gmail.com; Marjolaine.Matabos@ifremer.fr; smills@whoi.edu,Melanodrymia aurantiaca,Mel351,449983,3,2,66,10,2,66,Sometimes,2,348,No,3,66,Does not add,2,66,High,NA,NA,Vent,2,129,NA,NA,NA,2500,3000,2500,3000,2,129,Hard,1,129,Medium,NA,66,Sediment or rock surface,2,129,Detritivore,2,129,Mollusca,Gastropoda,,Melanodrymiidae,Melanodrymia,,aurantiaca,
352,asac1g09@soton.ac.uk; verenat,Melanodrymia brightae,Mel352,449984,2,3,66,10,3,66,Never,NA,66,No,3,66,Does not add,NA,66,Low,NA,66,Vent,3,66,None,2,66,2000,2500,2000,2500,NA,66,Hard,2,66,Medium,NA,66,Sediment or rock surface,2.5,66,Detritivore,3,66,Mollusca,Gastropoda,,Melanodrymiidae,Melanodrymia,,brightae,
353,tammy.horton@noc.ac.uk; asac1g09@soton.ac.uk,Metopa samsiluna,Met353,555242,3,2,565; 566,10,3,565; 566,Sometimes,2,66,No,3,66,Does not add,3,66,Low,2,565; 566,No,3,565; 566,None,2,NA,1000,1500,1500,2000,3,565; 566,Hard,2,66,Medium,2,565; 566,Sediment or rock surface,3,66,Detritivore,2,565; 566,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Metopa,,samsiluna,
354,daphne.cuvelier@gmail.com; eva.ramirez@niva.no; gorolen@mail.ru; ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt,Mirocaris fortunata,Mir354,107541,4,3,129; 66,100,3,290; 343,Always,3,66; 129,No,3,66,Does not add,3,66,High,3,66; 129; 453,Vent,3,129; 563,None,3,66,500,1000,4000,4500,3,129; 66,Hard,2.75,66; 129,High,3,129; 66; 248,Fauna,3,125; 66; 95,Carnivore S,3,125; 66; 95,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Mirocaris,,fortunata,
355,jtc@soton.ac.uk; Terue-Cristina.Kihara@senckenberg.de; verenat,Mirocaris indica,Mir355,389868,4,NA,-9997,100,3,295,Always,3,66,Yes,3,66,Does not add,3,66,High,3,560,Vent,3,295; 102,None,3,295,2000,2500,3000,3500,3,581,Hard,3,581; 102,High,3,581; 102,Sediment or rock surface,2,295,Carnivore O,2,295,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Mirocaris,,indica,
356,asac1g09@soton.ac.uk,Misophriopsis longicauda,Mis356,348215,3,1,-9996,1,2,237; 238,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,Vent,3,66,None,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,66,NA,3,66,Arthropoda,Hexanauplia,Misophrioida,Misophriidae,Misophriopsis,,longicauda,
357,Miron@ocean.ru; Verenat@uvic.ca,Monachocrinus n. sp.,Mon357,123341,1,3,-9996,10,1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,1,-9999,NA,NA,NA,2500,3000,2500,3000,2,66,NA,NA,NA,NA,NA,NA,Water column,3,66,Carnivore O,3,66,Echinodermata,Crinoidea,Comatulida,Bathycrinidae,Monachocrinus,,,
358,tammy.horton@noc.ac.uk,Monoculodes anophthalma,Mon358,547092,3,2,43,10,3,43,Never,1,44,No,3,66,Does not add,3,66,Low,3,44,Vent,2,44,None,2,NA,2000,2500,2000,2500,3,44,Hard,2,44,Medium,1,44,Fauna,2,66,Carnivore O,2,66,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,,anophthalma,
359,hans.rapp@uib.no,Monoculodes bousfieldi,Mon359,101694,4,3,66,10,3,66,Always,3,66,No,3,66,Does not add,3,66,High,3,66,Vent,3,66,NA,NA,NA,2000,2500,2000,2500,1,66,Hard,2,66,High,3,66,NA,NA,NA,NA,NA,NA,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,,,
360,ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt; asac1g09@soton.ac.uk,Mora moro,Mor360,126497,4,3,66,1000,3,129; 627,Never,1,66,No,3,66,Does not add,3,66,Low,1,66,No,3,129; 165,None,3,66,0,500,2000,2500,3,129; 165,Water column,3,129; 165,Low,3,129; 66,Fauna,3,129,Carnivore O,3,129; 165,Chordata,Actinopterygii,Gadiformes,Moridae,Mora,,moro,
361,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk,Munida magniantennulata,Mun361,378112,4,2,-9996,100,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,"79
",NA,NA,NA,1500,2000,1500,2000,3,650,NA,NA,NA,NA,NA,NA,Fauna,2,79,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,,magniantennulata,
362,asac1g09@soton.ac.uk; William.Reid@newcastle.ac.uk; reboschen@uvic.ca,Munidopsis alvisca,Mun362,242562,4,3,66,100,3,66,Never,3,66,No,3,66,Does not add,2,66,Low,3,66,Vent,3,129,None,3,66,1500,2000,2000,2500,NA,NA,Hard,NA,NA,Low,3,66,Fauna,3,NA,Carnivore S,2.5,66,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,alvisca,
363,sam.southgate@hotmail.co.uk; asac1g09@soton.ac.uk,Munidopsis crassa,Mun363,107174,3,3,129,100,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other CBE,3,129,NA,NA,NA,0,500,4500,5000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,crassa,
364,reboschen@uvic.ca,Munidopsis kermadec,Mun364,242556,4,3,66,100,3,114,Never,1,66,No,3,66,Does not add,2,66,NA,NA,NA,Vent,2,114,None,1,66,1500,2000,1500,2000,3,114,Hard,2,114,NA,NA,NA,Fauna,1,66,Carnivore S,1,66,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,kermadec,
365,ijc1g15@soton.ac.uk; Terue-Cristina.Kihara@senckenberg.de,Munidopsis laticorpus,Mun365,392548,4,3,66,100,3,113,Never,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,113,NA,NA,NA,2000,2500,2500,3000,3,581,Hard,3,113,Low,3,581,Fauna,2,"79
",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,laticorpus,
366,asac1g09@soton.ac.uk; cpd4@psu.edu; ijc1g15@soton.ac.uk; pjt11@duke.edu; reboschen@uvic.ca; William.Reid@newcastle.ac.uk,Munidopsis lauensis,Mun366,242557,4,3,66,100,3,13; 114,Never,3,467,No,3,66,Does not add,3,66,Low,2,66; 427,Vent,3,114; 2; 13,None,3,66,1000,1500,2000,2500,3,345; 147; 13,Hard,3,114; 66,Medium,2,263; 66,Fauna,2,66,Carnivore S,3,149; 133,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,lauensis,
367,ijc1g15@soton.ac.uk; asac1g09@soton.ac.uk,Munidopsis lentigo,Mun367,242561,3,2,-9996,10,2,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,NA,NA,NA,NA,2500,3000,2500,3000,3,650,NA,NA,NA,NA,NA,NA,Fauna,NA,"79
",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,lentigo,
368,hwatanabe@jamstec.go.jp,Munidopsis longispinosa,Mun368,392556,4,NA,-9997,100,NA,-9997,Never,NA,NA,No,NA,NA,Does not add,NA,NA,Low,NA,NA,Vent,NA,NA,None,NA,NA,1000,1500,1000,1500,NA,NA,Hard,NA,NA,Low,NA,NA,Fauna,NA,NA,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,longispinosa,
369,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk,Munidopsis marianica,Mun369,242559,4,2,66,100,3,129,NA,NA,NA,No,2,66,Does not add,2,66,NA,NA,NA,No,2,129,NA,NA,NA,1500,2000,1500,2000,3,650,NA,NA,NA,NA,NA,NA,Fauna,NA,-9996,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,marianica,
370,hwatanabe@jamstec.go.jp; William.Reid@newcastle.ac.uk,Munidopsis ryukyuensis,Mun370,392598,3,3,NA,100,3,168,Sometimes,NA,66,No,NA,66,Does not add,NA,66,Low,NA,66,Vent,1,168,None,3,NA,1000,1500,1000,1500,2,NA,Soft,3,NA,Low,2,NA,Fauna,3,NA,Carnivore O,2,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,ryukyuensis,
371,reboschen@uvic.ca,Munidopsis sonne,Mun371,242558,4,3,66,100,3,11; 114,Never,1,66,No,3,66,Does not add,2,66,NA,NA,NA,Vent,3,11,None,1,66,1500,2000,1500,2000,3,11; 114,Hard,2,114,NA,NA,NA,Fauna,1,66,Carnivore S,1,66,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,sonne,
372,jtc@soton.ac.uk; asac1g09@soton.ac.uk,Munidopsis sp. SWIR,Mun372,106836,3,3,102,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,-9999,NA,NA,NA,2500,3000,2500,3000,3,102,NA,NA,NA,Low,3,102,NA,NA,NA,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,,
373,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk,Munidopsis starmer,Mun373,242560,4,2,66,100,2,129; 66,NA,NA,NA,No,2,66,Does not add,2,66,NA,NA,NA,Vent,2,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,NA,-9996,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,starmer,
374,sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk,Munidopsis subsquamosa,Mun374,107183,4,3,129,100,3,129,Sometimes,3,66,NA,NA,NA,NA,NA,NA,High,3,129,Vent,3,129,None,3,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,3,129,Fauna,3,129,Carnivore O,2.5,129; 66,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,subsquamosa,
375,asac1g09@soton.ac.uk; tresa2812@gmail.com,Mytilidiphila enseiensis,Myt375,329398,3,2,66,10,3,129,NA,NA,NA,No,2,129,Does not add,2,129,NA,NA,NA,Vent,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hard,3,129,NA,NA,NA,Fauna,1,129,NA,NA,129,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Mytilidiphila,,enseiensis,
376,asac1g09@soton.ac.uk,Mytilidiphila okinawaensis,Myt376,329399,3,2,66,10,3,129,NA,NA,NA,No,2,129,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hard,3,129,NA,NA,NA,Fauna,1,129,NA,NA,129,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Mytilidiphila,,okinawaensis,
377,cpd4@psu.edu; reboschen@uvic.ca; tresa2812@gmail.com; verenat,Nautilocaris saintlaurentae,Nau377,378099,4,3,66,100,3,66,Always,2,66,No,3,66,Does not add,3,66,High,3,292,Vent,3,2,None,2,292; 66,1500,2000,1500,2000,3,2; 292,Hard,2.5,292; 66,NA,NA,NA,Sediment or rock surface,2,292,Bacterivore,2,292,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Nautilocaris,,saintlaurentae,
378,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk; hwatanabe@jamstec.go.jp,Neobrachylepas relica,Neo378,933316,1,3,129,10,2,129,Never,NA,66,No,NA,66,Does not add,NA,66,Low,NA,66,Vent,3,129,None,NA,66,1500,2000,1500,2000,3,129,Hard,2,66,Low,NA,66,Water column,3,384,NA,NA,66,Arthropoda,Hexanauplia,Sessilia,Neobrachylepadidae,Neobrachylepas,,relica,
379,sabine.gollner@nioz.nl; asac1g09@soton.ac.uk,Neochromadora aff. poecilosoma,Neo379,120792,3,2,66,1,3,199,NA,NA,NA,No,3,66,Does not add,2,66,Low,2,199,No,1,199,None,3,66,2000,2500,2500,3000,2,196,Hard,2,196,Medium,3,199; 196,Sediment or rock surface,2,66,NA,1,66,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Neochromadora,,poecilosoma,
380,ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk,Neocyttus helgae,Neo380,127423,4,3,129,100,3,129,Never,1,66,No,3,66,Does not add,3,66,Low,1,66,No,1,129,NA,NA,NA,500,1000,1500,2000,3,129,Water column,3,129,Low,3,129,Fauna,2,371,NA,NA,NA,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Neocyttus,,helgae,
381,ijc1g15@soton.ac.uk; hwatanabe@jamstec.go.jp,Neolepas rapanuii,Neo381,733409,1,NA,NA,100,NA,NA,Always,NA,66,Yes,NA,66,Open bush forming,NA,66,High,NA,66,Vent,2,491,NA,NA,NA,2500,3000,2500,3000,NA,66,Hard,NA,66,Low,NA,66,Water column,NA,NA,NA,NA,NA,Arthropoda,Hexanauplia,Scalpelliformes,Eolepadidae,Neolepas,,rapanuii,
382,jtc@soton.ac.uk; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Neolepas scotiaensis,Neo382,534843,1,3,340; 66,1000,3,NA,Always,3,NA,Yes,3,NA,Open bush forming,3,NA,High,3,NA,Vent,3,NA,None,1,66,2000,2500,2500,3000,3,447,Hard,3,NA,Medium,3,NA,Water column,3,438; 69; 66,Bacterivore,2.5,438; 69; 66,Arthropoda,Hexanauplia,Scalpelliformes,Eolepadidae,Neolepas,,scotiaensis,
383,jtc@soton.ac.uk; hwatanabe@jamstec.go.jp,Neolepas sp. 1,Neo383,534843,1,3,102,100,NA,-9997,Always,3,102,NA,NA,NA,Open bush forming,3,102,High,3,102,Vent,3,102,NA,NA,NA,2500,3000,2500,3000,NA,66,Hard,3,102,Medium,3,102,Water column,NA,66,Detritivore,NA,66,Arthropoda,Hexanauplia,Scalpelliformes,Eolepadidae,Neolepas,,,
384,hwatanabe@jamstec.go.jp; Terue-Cristina.Kihara@senckenberg.de,Neolepas sp. 1 CIR,Neo384,534843,1,3,66,100,3,66,Always,3,66,No,3,66,Does not add,3,66,High,3,560,Vent,3,129; 66,None,3,129,2000,2500,3000,3500,3,102; 66,Hard,3,580; 66,Medium,3,581; 66,Water column,3,129,Bacterivore,2,554,Arthropoda,Hexanauplia,Scalpelliformes,Eolepadidae,Neolepas,,,
